iter	Passed	Remaining
0	354	176977
1	572	142664
2	767	127106
3	1036	128550
4	1349	133602
5	1519	125133
6	1703	119960
7	2053	126286
8	2222	121237
9	2392	117216
10	2578	114626
11	2826	114930
12	3001	112430
13	3206	111305
14	3365	108817
15	3519	106460
16	3683	104658
17	3873	103715
18	4029	102012
19	4195	100687
20	4356	99373
21	4572	99349
22	4730	98103
23	4893	97056
24	5052	95991
25	5217	95124
26	5374	94145
27	5634	94983
28	5919	96139
29	6177	96780
30	6463	97785
31	6634	97027
32	6894	97562
33	7089	97166
34	7296	96936
35	7480	96413
36	7694	96286
37	7968	96876
38	8195	96872
39	8416	96791
40	8637	96700
41	8833	96327
42	9059	96285
43	9220	95554
44	9414	95186
45	9737	96104
46	10000	96385
47	10226	96299
48	10458	96262
49	10671	96041
50	10890	95879
51	11075	95417
52	11308	95376
53	11552	95412
54	11800	95474
55	12064	95656
56	12346	95957
57	12587	95926
58	12900	96428
59	13163	96533
60	13399	96430
61	13615	96188
62	13877	96263
63	14110	96128
64	14338	95956
65	14529	95543
66	14743	95280
67	14927	94831
68	15122	94460
69	15291	93931
70	15465	93446
71	15714	93415
72	16096	94153
73	16330	94008
74	16570	93900
75	16969	94670
76	17253	94781
77	17495	94654
78	17658	94104
79	17814	93526
80	17970	92956
81	18135	92447
82	18295	91916
83	18453	91387
84	18642	91020
85	18808	90541
86	18993	90166
87	19198	89883
88	19401	89593
89	19621	89386
90	19872	89316
91	20122	89237
92	20325	88950
93	20523	88642
94	20701	88251
95	20877	87858
96	21042	87425
97	21200	86963
98	21356	86506
99	21543	86174
100	21699	85723
101	21866	85320
102	22037	84941
103	22220	84608
104	22371	84158
105	22525	83727
106	22698	83368
107	22852	82945
108	23023	82587
109	23175	82166
110	23317	81716
111	23476	81329
112	23648	80989
113	23802	80592
114	24000	80349
115	24130	79880
116	24279	79479
117	24465	79202
118	24619	78823
119	24765	78424
120	24919	78053
121	25071	77680
122	25208	77265
123	25358	76893
124	25525	76575
125	25706	76302
126	25885	76026
127	26093	75834
128	26455	76086
129	26770	76193
130	26967	75961
131	27186	75793
132	27403	75617
133	27634	75478
134	27854	75310
135	28053	75083
136	28492	75495
